Matrix,Mode,ChunkSize,Threads,Time_ms
atmosmodl.mtx,dynamic,10,32,12.099028
atmosmodl.mtx,dynamic,10,64,15.713215
atmosmodl.mtx,dynamic,100,1,14.628887
atmosmodl.mtx,dynamic,100,2,11.263132
atmosmodl.mtx,dynamic,100,4,8.602858
atmosmodl.mtx,dynamic,100,8,6.430149
atmosmodl.mtx,dynamic,100,16,4.088879
atmosmodl.mtx,dynamic,100,32,3.301859
atmosmodl.mtx,dynamic,100,64,3.110886
atmosmodl.mtx,dynamic,1000,1,14.365911
atmosmodl.mtx,dynamic,1000,2,8.961916
atmosmodl.mtx,dynamic,1000,4,7.005930
atmosmodl.mtx,dynamic,1000,8,4.507065
atmosmodl.mtx,dynamic,1000,16,2.962828
atmosmodl.mtx,dynamic,1000,32,2.671957
atmosmodl.mtx,dynamic,1000,64,10.696888
atmosmodl.mtx,guided,1,1,14.377117
atmosmodl.mtx,guided,1,2,10.371923
atmosmodl.mtx,guided,1,4,6.951094
atmosmodl.mtx,guided,1,8,4.668951
atmosmodl.mtx,guided,1,16,2.979994
atmosmodl.mtx,guided,1,32,2.688169
atmosmodl.mtx,guided,1,64,11.893988
atmosmodl.mtx,guided,10,1,14.666796
atmosmodl.mtx,guided,10,2,9.289980
atmosmodl.mtx,guided,10,4,6.182909
atmosmodl.mtx,guided,10,8,4.058123
atmosmodl.mtx,guided,10,16,2.936125
atmosmodl.mtx,guided,10,32,2.589941
atmosmodl.mtx,guided,10,64,10.646105
atmosmodl.mtx,guided,100,1,14.522076
atmosmodl.mtx,guided,100,2,9.851933
atmosmodl.mtx,guided,100,4,7.104158
atmosmodl.mtx,guided,100,8,4.896164
atmosmodl.mtx,guided,100,16,3.303051
atmosmodl.mtx,guided,100,32,2.694845
atmosmodl.mtx,guided,100,64,2.592087
atmosmodl.mtx,guided,1000,1,14.420033
atmosmodl.mtx,guided,1000,2,9.519815
atmosmodl.mtx,guided,1000,4,6.522179
atmosmodl.mtx,guided,1000,8,4.233122
atmosmodl.mtx,guided,1000,16,3.200054
atmosmodl.mtx,guided,1000,32,2.707958
atmosmodl.mtx,guided,1000,64,10.360003
Freescale1.mtx,seq,NA,1,30.951977
Freescale1.mtx,static,1,1,30.952930
Freescale1.mtx,static,1,2,61.271191
Freescale1.mtx,static,1,4,47.532082
Freescale1.mtx,static,1,8,39.426088
Freescale1.mtx,static,1,16,29.665947
Freescale1.mtx,static,1,32,23.040056
Freescale1.mtx,static,1,64,23.097038
Freescale1.mtx,static,10,1,30.900002
Freescale1.mtx,static,10,2,33.428907
Freescale1.mtx,static,10,4,35.424948
Freescale1.mtx,static,10,8,27.072906
Freescale1.mtx,static,10,16,19.593000
Freescale1.mtx,static,10,32,11.393070
Freescale1.mtx,static,10,64,14.081955
Freescale1.mtx,static,100,1,30.990124
Freescale1.mtx,static,100,2,23.829937
Freescale1.mtx,static,100,4,20.085096
Freescale1.mtx,static,100,8,13.903856
Freescale1.mtx,static,100,16,9.500980
Freescale1.mtx,static,100,32,8.121014
Freescale1.mtx,static,100,64,13.380051
Freescale1.mtx,static,1000,1,31.181097
Freescale1.mtx,static,1000,2,16.860008
Freescale1.mtx,static,1000,4,16.067028
Freescale1.mtx,static,1000,8,8.974791
Freescale1.mtx,static,1000,16,6.402016
Freescale1.mtx,static,1000,32,5.652905
Freescale1.mtx,static,1000,64,11.867046
Freescale1.mtx,dynamic,1,1,91.139078
Freescale1.mtx,dynamic,1,2,286.143064
Freescale1.mtx,dynamic,1,4,519.172907
Freescale1.mtx,dynamic,1,8,600.208044
Freescale1.mtx,dynamic,1,16,414.381981
Freescale1.mtx,dynamic,1,32,598.361015
Freescale1.mtx,dynamic,1,64,848.413944
Freescale1.mtx,dynamic,10,1,36.226034
Freescale1.mtx,dynamic,10,2,48.792839
Freescale1.mtx,dynamic,10,4,68.445921
Freescale1.mtx,dynamic,10,8,51.210165
Freescale1.mtx,dynamic,10,16,39.093018
Freescale1.mtx,dynamic,10,32,27.561903
Freescale1.mtx,dynamic,10,64,26.425838
Freescale1.mtx,dynamic,100,1,31.287909
Freescale1.mtx,dynamic,100,2,24.901152
Freescale1.mtx,dynamic,100,4,21.102190
Freescale1.mtx,dynamic,100,8,12.649059
Freescale1.mtx,dynamic,100,16,8.079052
Freescale1.mtx,dynamic,100,32,7.065058
Freescale1.mtx,dynamic,100,64,6.143093
Freescale1.mtx,dynamic,1000,1,31.729937
Freescale1.mtx,dynamic,1000,2,18.350840
Freescale1.mtx,dynamic,1000,4,11.757851
Freescale1.mtx,dynamic,1000,8,7.961035
Freescale1.mtx,dynamic,1000,16,6.385088
Freescale1.mtx,dynamic,1000,32,5.667925
Freescale1.mtx,dynamic,1000,64,11.857986
Freescale1.mtx,guided,1,1,31.538010
Freescale1.mtx,guided,1,2,15.775919
Freescale1.mtx,guided,1,4,13.439894
Freescale1.mtx,guided,1,8,7.573128
Freescale1.mtx,guided,1,16,6.206036
Freescale1.mtx,guided,1,32,5.383968
Freescale1.mtx,guided,1,64,14.590979
Freescale1.mtx,guided,10,1,31.105042
Freescale1.mtx,guided,10,2,15.647888
Freescale1.mtx,guided,10,4,12.168884
Freescale1.mtx,guided,10,8,7.580996
Freescale1.mtx,guided,10,16,5.846024
Freescale1.mtx,guided,10,32,5.886078
Freescale1.mtx,guided,10,64,10.987997
Freescale1.mtx,guided,100,1,31.459093
Freescale1.mtx,guided,100,2,15.940905
Freescale1.mtx,guided,100,4,10.133028
Freescale1.mtx,guided,100,8,7.614136
Freescale1.mtx,guided,100,16,6.661892
Freescale1.mtx,guided,100,32,5.702019
Freescale1.mtx,guided,100,64,14.783144
Freescale1.mtx,guided,1000,1,32.340050
Freescale1.mtx,guided,1000,2,16.304016
Freescale1.mtx,guided,1000,4,12.145996
Freescale1.mtx,guided,1000,8,7.416964
Freescale1.mtx,guided,1000,16,6.266117
Freescale1.mtx,guided,1000,32,5.367041
Freescale1.mtx,guided,1000,64,11.646986
