Matrix,Mode,ChunkSize,Threads,Cycles,Instructions,CacheMisses,CacheRefs,LLCMisses
tmt_unsym.mtx,guided,100,16,6.4663e+09,16435955723,4.20323e+06,9870561,111728
tmt_unsym.mtx,guided,100,32,6.99178e+09,1.64575e+10,4106364,9.89805e+06,112928
tmt_unsym.mtx,guided,100,64,1.20634e+10,1.6661e+10,4.16364e+06,9.92082e+06,116911
tmt_unsym.mtx,guided,1000,1,6.15119e+09,1.64223e+10,4.28016e+06,10119674,100389
tmt_unsym.mtx,guided,1000,2,6.16469e+09,1.64234e+10,4.35269e+06,1.00562e+07,107665
tmt_unsym.mtx,guided,1000,4,6.19801e+09,1.64247e+10,4.22695e+06,1.00769e+07,108323
tmt_unsym.mtx,guided,1000,8,6.25846e+09,1.64272e+10,4.24742e+06,9.79993e+06,110605
tmt_unsym.mtx,guided,1000,16,6.45854e+09,16435558275,4.18951e+06,9.89671e+06,110780
tmt_unsym.mtx,guided,1000,32,7063316207,1.64611e+10,4126857,9.88948e+06,111068
tmt_unsym.mtx,guided,1000,64,1.01504e+10,1.6568e+10,4.15615e+06,9.8878e+06,116324
tmt_unsym.mtx,guided,10000,1,6.14118e+09,16422335862,4.26487e+06,9.73871e+06,99555
tmt_unsym.mtx,guided,10000,2,6.16807e+09,1.64234e+10,4.36864e+06,1.01124e+07,106920
tmt_unsym.mtx,guided,10000,4,6.19669e+09,1.64246e+10,4.19904e+06,1.0013e+07,109457
tmt_unsym.mtx,guided,10000,8,6.27767e+09,1.6427e+10,4.14376e+06,9998335,104809
tmt_unsym.mtx,guided,10000,16,6.49799e+09,1.64376e+10,4.21422e+06,9.74523e+06,113478
tmt_unsym.mtx,guided,10000,32,6.96495e+09,1.64573e+10,4.10213e+06,9.82687e+06,112774
tmt_unsym.mtx,guided,10000,64,10935463358,1.66168e+10,4.16512e+06,9.6995e+06,118827
